"","Plot.Code","region","m.rates.likstanding","m.rates.notstanding","census.interval.m0","p.MoD.notstanding","p.MoD.lik.standing"
"92","SCT-06","3AMA_W",0.00424654971378428,0.0265723617421666,-0.787182224819625,0.793338240706662,0.206661759293338
"93","SMT-02","4AMA_BrSh",0.0160810800924044,0.00830316550444147,-0.680182224819625,0.336182336182336,0.651471984805318
"94","SMT-03","4AMA_BrSh",0.018897563220773,0,-0.980848891486292,0,1
"95","SUC-01","3AMA_W",0.0064453633738765,0.0094137996746679,0.220151108513708,0.550077574889605,0.449922425110395
"96","SUC-02","3AMA_W",0.00608563502287416,0.0126091373699725,0.222817775180375,0.614952001889361,0.385047998110639
"97","SUC-03","3AMA_W",0.00813886275581139,0.0130409639482737,0.644401108513708,0.615222865501174,0.384777134498826
"98","SUC-04","3AMA_W",0.00567281314575768,0.010301764882412,-0.145648891486292,0.623019480519481,0.36745670995671
"99","SUC-05","3AMA_W",0.00676874134079546,0.00972977567786347,-0.138648891486292,0.536817964644052,0.445790731008122
"100","TAM-01","3AMA_W",0.00612453844861494,0.00963979279815252,0.0440082513708511,0.590681593175199,0.409318406824801
"101","TAM-02","3AMA_W",0.00560212247095896,0.00966732964698322,-0.128473891486292,0.616331816331816,0.383668183668184
"102","TAM-05","3AMA_W",0.00701251407750629,0.013020848815343,-0.290098891486291,0.65748226365684,0.34251773634316
"103","TAM-06","3AMA_W",0.00496627435243935,0.00634500007852252,-0.219015558152958,0.601256613756614,0.398743386243386
"104","TAM-07","3AMA_W",0.00914926822483994,0.0128712703702366,0.290293965656566,0.585553457302254,0.414446542697746
"105","TAM-08","3AMA_W",0.00958722176333538,0.0122412989570729,-0.386848891486292,0.589015331120594,0.410984668879406
"106","TAM-09","3AMA_W",0.0115797754363929,0.018546305940657,-1.82651555815296,0.40375234521576,0.59624765478424
"107","TAN-02","4AMA_BrSh",0.0194276405783338,0.0172702366555511,-1.23851555815296,0.520481740481741,0.47951825951826
"108","TAN-03","4AMA_BrSh",0.0193431081849751,0.0174370465014358,-1.24618222481963,0.424055622651637,0.575944377348363
"109","TAN-04","4AMA_BrSh",0.0150330815921277,0.0211174467048535,-0.735515558152958,0.593134236453202,0.406865763546798
"110","TEC-01","2AMA_EC",0.00412437712252927,0.00956981307393735,-2.03618222481962,0.682142857142857,0.317857142857143
"111","TEC-06","2AMA_EC",0.0101152814404796,0,-1.91984889148629,0,1
"112","TEM-03","2AMA_EC",0.0140423479927472,0,-1.96184889148629,0,1
"113","TEM-04","2AMA_EC",0.0230112504489968,0.00164367845301849,-2.01984889148629,0.0666666666666667,0.933333333333333
"114","TEM-05","2AMA_EC",0.00467960620273785,0.00702093173872254,-2.00234889148629,0.611111111111111,0.388888888888889
"115","TEM-06","2AMA_EC",0.00137576658447303,0.00963256098217102,-1.96384889148629,0.875,0.125
"116","TIP-02","3AMA_W",0.00438222581452074,0.00740962829754711,0.462651108513708,0.537367724867725,0.462632275132275
"117","TIP-03","3AMA_W",0.00837345494797177,0.00482308304558289,-0.231848891486292,0.39327485380117,0.60672514619883
"118","TUC-01","3AMA_W",0.0047227515595805,0.00156655118903116,0.335151108513708,0.246464646464646,0.731313131313131
"119","VCR-01","4AMA_BrSh",0.0189218328921174,0.00543616675046619,-1.40684889148629,0.243589743589744,0.756410256410256
"120","YAN-01","3AMA_W",0.00765839686648856,0.0184158555254468,0.860951108513709,0.692822468935572,0.303095898411367
"121","YAN-02","3AMA_W",0.00482209190661678,0.00893711946536717,0.575651108513708,0.618188601136035,0.381811398863965
"122","ZAR-01","3AMA_W",0.0134116299834658,0,-2.03384889148629,0,1
"123","ZAR-02","3AMA_W",0.0106664174582608,0.00152341027670022,-1.96684889148629,0.125,0.875
"124","ZAR-03","3AMA_W",0.0135822049434521,0.00240430355733065,-2.10384889148629,0.156565656565657,0.843434343434343
"125","ZAR-04","3AMA_W",0.0178478291714104,0.00324651574460955,-2.07984889148629,0.153846153846154,0.846153846153846
