"","Plot.Code","Census.No","m.rates.annual","region"
"158","BNT-05",3,0.00722021660649819,"2AMA_EC"
"159","BNT-05",4,0.01078271725048,"2AMA_EC"
"160","BNT-05",5,0.00713574694159136,"2AMA_EC"
"161","BNT-06",2,0.0123808126475896,"2AMA_EC"
"162","BNT-06",3,0.012589928057554,"2AMA_EC"
"163","BNT-06",4,0.0230724498661206,"2AMA_EC"
"164","BNT-06",5,0.0123770804411694,"2AMA_EC"
"165","BNT-07",2,0.0134898001414653,"2AMA_EC"
"166","BNT-07",3,0.00475435816164815,"2AMA_EC"
"167","BNT-07",4,0.00782028966175097,"2AMA_EC"
"168","BNT-07",5,0.0031170126601292,"2AMA_EC"
"169","BOG-01",2,0.0174183092117163,"3AMA_W"
"170","BOG-01",3,0.0295983909967105,"3AMA_W"
"171","BOG-01",4,0.0260928310747566,"3AMA_W"
"172","BOG-01",5,0.0167497134092784,"3AMA_W"
"173","BOG-02",2,0.022486811629661,"3AMA_W"
"174","BOG-02",3,0.0305569343967786,"3AMA_W"
"175","BOG-02",4,0.0265130381025688,"3AMA_W"
"176","BOG-02",5,0.0365351355431716,"3AMA_W"
"177","CAR-01",2,0.00968948642712852,"4AMA_BrSh"
"178","CAR-01",3,0.0278150799936903,"4AMA_BrSh"
"179","CAR-01",4,0.0148891687968837,"4AMA_BrSh"
"180","CAX-01",2,0.00845950098967929,"2AMA_EC"
"181","CAX-01",3,0.00930501753698054,"2AMA_EC"
"182","CAX-01",4,0.00676119244263429,"2AMA_EC"
"183","CAX-01",5,0.00724540635699034,"2AMA_EC"
"184","CAX-02",2,0.0105622046444929,"2AMA_EC"
"185","CAX-02",3,0.0155232884024918,"2AMA_EC"
"186","CAX-02",4,0.0144607273615636,"2AMA_EC"
"187","CAX-06",2,0.00791571646859435,"2AMA_EC"
"188","CAX-06",3,0.0127745639273236,"2AMA_EC"
"189","CAX-06",4,0.0159161108361212,"2AMA_EC"
"190","CAX-06",5,0,"2AMA_EC"
"191","CAX-06",6,0.0157719731103406,"2AMA_EC"
"192","CAX-08",2,0.00451800050171847,"2AMA_EC"
"193","CAX-08",3,0.0279288520378289,"2AMA_EC"
"194","CAX-08",4,0.0421103962828132,"2AMA_EC"
"195","CAX-08",5,0.0232133200119659,"2AMA_EC"
"196","CAX-08",6,0.0258750351608426,"2AMA_EC"
"197","CAX-08",7,0.0103755138479992,"2AMA_EC"
"198","CAX-08",8,0.0209082157129559,"2AMA_EC"
"199","CHO-01",2,0.0323901299421167,"4AMA_BrSh"
"200","CLA-34",10,0.0111757530335647,"3AMA_W"
"201","CLA-34",11,0.00730040606984117,"3AMA_W"
"202","CLA-34",12,0.00277196892134013,"3AMA_W"
"203","CLA-34",13,0.00586421290550532,"3AMA_W"
"204","CLA-34",14,0.0104585417085676,"3AMA_W"
"205","CLA-34",15,0.0187500630233318,"3AMA_W"
"206","CLA-34",16,0.00999268846561141,"3AMA_W"
"207","CLA-34",17,0.017500307215485,"3AMA_W"
"208","CLA-34",18,0.0285464264169201,"3AMA_W"
"209","CLA-34",19,0.0139780846486237,"3AMA_W"
"210","CLA-34",20,0.0263840587796078,"3AMA_W"
"211","CLA-34",8,0,"3AMA_W"
"212","CLA-34",9,0.0182999632925351,"3AMA_W"
"213","CPP-01",2,0.017049638800217,"4AMA_BrSh"
"214","CRP-02",2,0.022625835751087,"4AMA_BrSh"
"215","CRP-02",3,0.0215429030660615,"4AMA_BrSh"
"216","CRP-02",4,0.0290154244315656,"4AMA_BrSh"
"217","CRP-02",5,0.0561963309991894,"4AMA_BrSh"
"218","CRP-02",6,0.0515929228753629,"4AMA_BrSh"
"219","CUZ-02",2,0.0159948991030161,"3AMA_W"
"220","CUZ-02",3,0.0174862541495506,"3AMA_W"
"221","CUZ-02",4,0.0218250533064281,"3AMA_W"
"222","CUZ-02",5,0.0235923497820453,"3AMA_W"
"223","CUZ-02",6,0.0240180763503901,"3AMA_W"
"224","CUZ-02",7,0.0221359136787703,"3AMA_W"
"225","CUZ-02",8,0.0174552258950382,"3AMA_W"
"226","CUZ-03",2,0.0254674934122964,"3AMA_W"
"227","CUZ-03",3,0.0217808859998035,"3AMA_W"
"228","CUZ-03",4,0.0206662849481072,"3AMA_W"
"229","CUZ-03",5,0.0198241804272358,"3AMA_W"
"230","CUZ-03",6,0.0195800922677488,"3AMA_W"
"231","CUZ-03",7,0.0147721506817924,"3AMA_W"
"232","CUZ-03",8,0.0185635004526845,"3AMA_W"
"233","CUZ-04",2,0.0197373994874771,"3AMA_W"
"234","CUZ-04",3,0.0213799207498608,"3AMA_W"
"235","CUZ-04",4,0.0287638993611878,"3AMA_W"
"236","CUZ-04",5,0.0351223334449079,"3AMA_W"
"237","CUZ-04",6,0.0296146244040997,"3AMA_W"
"238","CUZ-04",7,0.0354302368967643,"3AMA_W"
"239","CUZ-04",8,0.0403283157208343,"3AMA_W"
"240","DOI-01",2,0.0160870583389211,"3AMA_W"
"241","DOI-01",3,0.0233742498267147,"3AMA_W"
"242","DOI-01",4,0.00937262490908641,"3AMA_W"
"243","DOI-01",5,0.0232175150392557,"3AMA_W"
"244","DOI-01",6,0.0184680262905297,"3AMA_W"
"245","DOI-01",7,0.0387136867099082,"3AMA_W"
"246","DOI-01",8,0.0194951329041617,"3AMA_W"
"247","DOI-02",2,0.0274183070586469,"3AMA_W"
"248","DOI-02",3,0.0736751582739954,"3AMA_W"
"249","DOI-02",4,0.0731470947426415,"3AMA_W"
"250","DOI-02",5,0.0551781870563366,"3AMA_W"
"251","DOI-02",6,0.0377670754771485,"3AMA_W"
"252","DOI-02",7,0.0468145560137514,"3AMA_W"
"253","ECE-01",2,0.00670265226615641,"3AMA_W"
"254","ECE-01",3,0.0331230170819252,"3AMA_W"
"255","ECE-01",4,0.0188764876308348,"3AMA_W"
"256","ELD-12",14,0,"1AMA_GuSh"
"257","ELD-12",15,0.00297390408458076,"1AMA_GuSh"
"258","ELD-12",16,0.00223680559332984,"1AMA_GuSh"
"259","ELD-12",17,0.0077568941868158,"1AMA_GuSh"
"260","ELD-12",18,0.0132661905870362,"1AMA_GuSh"
"261","ELD-12",19,0,"1AMA_GuSh"
"262","ELD-12",20,0.00255495251736071,"1AMA_GuSh"
"263","ELD-12",21,0.0045132686978604,"1AMA_GuSh"
"264","ELD-12",22,0.00620935386676902,"1AMA_GuSh"
"265","ELD-12",23,0.0056484537436875,"1AMA_GuSh"
"266","ELD-12",24,0.0131968598308194,"1AMA_GuSh"
"267","ELD-12",25,0.0117893931231102,"1AMA_GuSh"
"268","ELD-12",26,0.0345839788522926,"1AMA_GuSh"
"269","ELD-34",14,0.00325533002052059,"1AMA_GuSh"
"270","ELD-34",15,0.0192157213271172,"1AMA_GuSh"
